Probecard,Freq1,Freq2,PRR_record,Temp_coeff,Test_time,Power_supply,Propagation_delay,Rise_time,Fall_time,Resistance,Functional
PC01,13.86,17.21,1121,25.5,4.28,17.24,4.58,301,202,1.625,-192.241
PC01,11.85,15.78,1121,23.1,1.86,14.04,2.09,299,200,1.463,-320.051
PC01,11.98,15.35,1121,23,2.14,14,1.96,299,199,1.362,-322.343
PC01,11.4,14.88,1121,23,1.35,14.72,1.93,299,198,1.079,-329.257
PC01,14.18,17.22,1121,25.6,4.89,16.58,4.59,301,201,1.536,-197.745
PC01,11.6,15.54,1121,22.9,1.8,15.35,1.57,299,199,1.338,-334.919
PC01,11.52,16.4,1121,23.6,2.64,15.17,2.92,300,200,1.156,-288.167
PC01,11.18,14.73,1121,22.6,1.7,13.81,1.73,298,198,1.489,-352.824
PC01,10.93,15.05,1121,22.3,1.1,13.1,1.46,298,198,1.011,-360.847
PC01,12.3,16.38,1121,24.6,3.35,14.72,3.48,300,201,1.348,-257.478
PC01,11.76,16.28,1121,23.5,2.74,15.21,2.24,301,199,1.346,-300.051
PC01,12.39,15.96,1121,24,2.78,15.43,3.06,300,201,1.552,-277.281
PC01,11.06,15.05,1121,22.3,1.04,13.36,1.42,299,198,1.308,-358.542
PC01,9.85,13.9,1121,21.8,0.82,13.29,1.05,297,198,0.933,-381.641
PC01,13.62,17.59,1121,25.3,4.18,17.55,4.03,301,201,1.561,-215.916
PC01,11.74,15.5,1121,23.2,2.07,14.01,1.98,299,199,1.12,-320.843
PC01,13.01,16.22,1121,23.9,2.61,14.29,2.73,299,200,1.255,-277.952
PC01,12.7,16.07,1121,24.1,3.02,16.21,3,300,201,1.304,-265.867
PC01,12.93,17.24,1121,24.8,3.75,15.77,3.42,300,201,1.516,-237.137
PC01,8.94,14.23,1121,21.3,0.7,12.98,0.71,297,197,1.24,-403.575
PC01,14.35,17.17,1121,25.4,4.36,16.97,4.1,301,200,1.596,-208.078
PC01,10.85,15.94,1121,22.6,1.56,13.95,1.99,299,199,1.215,-334.287
PC01,12.36,17.76,1121,24.1,3.18,15.74,3.55,300,200,1.575,-258.73
PC01,10.59,14.57,1121,22.2,1.27,13.28,1.29,298,198,0.942,-374.006
PC01,12.55,16.19,1121,23.7,2.5,15.35,2.63,300,199,1.462,-287.026
PC01,13,16.69,1121,24.6,3.59,15.95,3.85,301,201,1.71,-251.874
PC01,13.33,17.53,1121,24.8,3.35,15.75,3.42,301,200,1.348,-243.901
PC01,10.37,14.55,1121,22.3,1.33,14.12,1.47,299,198,1.153,-357.382
PC01,14.13,18.01,1121,25.6,4.62,16.35,4.64,302,201,1.826,-197.837
PC01,11.12,15.73,1121,22.7,1.73,14.24,1.97,299,200,1.228,-338.235
PC01,12.95,17.41,1121,24.8,3.99,16.7,3.62,300,200,1.503,-233.373
PC01,11.47,16.45,1121,23.9,2.64,15.5,3.2,300,200,1.407,-276.464
PC01,12.37,16.14,1121,23.6,2.36,14.6,2.14,299,198,1.287,-299.426
PC01,12.06,14.46,1121,23.3,1.76,14.42,1.99,299,199,1.387,-313.891
PC01,13.66,16.71,1121,24,2.56,15.01,2.95,301,200,1.401,-271.722
PC01,13.24,16.98,1121,24.9,3.73,16.95,3.67,300,201,1.453,-240.539
PC01,12.53,16.76,1121,24,2.9,15.66,3.14,300,201,1.659,-276.595
PC01,12.39,16.76,1121,24.8,3.79,16.58,3.56,300,201,1.375,-234.01
PC01,12.19,15.52,1121,23.6,2.89,14.85,2.25,300,200,1.379,-294.152
PC01,11.05,16.07,1121,24.1,3.66,15.64,2.72,300,200,1.506,-271.008
PC01,11.29,15.21,1121,22.5,1.55,13.97,1.42,298,198,1.078,-351.024
PC01,10.95,13.74,1121,21.9,0.64,14.24,0.72,298,197,1.14,-381.512
PC01,13.11,16.48,1121,24.1,2.69,14.95,3.12,300,199,1.321,-270.752
PC01,11.32,16.09,1121,23.2,2.01,15.29,2.18,300,200,1.382,-315.059
PC01,11.37,15.79,1121,23.3,2.5,14.96,2.25,300,200,1.556,-308.364
PC01,11.16,15.16,1121,22.9,1.56,14.33,1.57,298,199,1.165,-330.878
PC01,11.83,15.52,1121,23.5,2.3,14.71,2.58,301,200,1.462,-304.702
PC01,10.75,14.66,1121,22.2,0.95,13.76,0.63,298,198,1.204,-372.736
PC01,14.21,17.66,1121,25.3,4.31,16.28,3.88,301,202,1.51,-216.069
PC01,12.4,16.42,1121,24.2,3.12,15.38,3.31,299,201,1.646,-262.118
PC01,12.45,15.86,1121,22.9,2.11,14.15,2,299,198,1.162,-332.161
PC01,14.09,18.27,1121,25.4,4.16,16.62,4.08,302,201,1.611,-207.009
PC01,11.03,14.78,1121,22.6,1.84,14.15,1.78,298,199,1.135,-345.294
PC01,12.52,16.88,1121,23.9,2.57,14.29,3.08,300,199,1.387,-284.43
PC01,12.4,16.01,1121,23.7,2.63,15.04,2.77,300,200,1.48,-290.95
PC01,10.61,14.89,1121,21.8,0.36,13.53,0.64,298,198,1.293,-376.689
PC01,12.02,17.54,1121,23.6,2.59,14.85,2.4,300,200,1.288,-290.759
PC01,10.66,14.76,1121,22.3,1.28,13.31,1.28,298,198,1.28,-355.573
PC01,10.23,15.68,1121,22.7,1.53,13.91,2,299,199,1.214,-333.96
PC01,12.09,16.92,1121,23.6,2.23,14.37,3,299,200,1.314,-296.736
PC01,11.1,16.09,1121,23.2,1.81,14.21,2.21,299,199,1.681,-313.452
PC01,10.61,14.35,1121,22.4,1.48,14.14,1.45,298,198,1.245,-350.595
PC01,12.48,15.71,1121,23.5,2.73,14.61,2.63,299,199,1.426,-295.507
PC01,13.34,18.26,1121,24.4,3.43,16.42,3.6,302,201,1.521,-243.384
PC01,11.96,15.68,1121,23.3,2.35,14.63,2.24,300,199,1.184,-307.348
PC01,14.16,17.94,1121,24.8,3.76,16.96,3.91,300,201,1.292,-236.181
PC01,9.42,12.63,1121,21.2,-0.01,13.24,0.31,297,198,1.118,-419.647
PC01,10.4,14.84,1121,22.6,1.33,14.77,1.42,299,198,0.98,-347.374
PC01,13.78,17.7,1121,25.2,4.32,16.88,4.29,301,203,1.55,-211.655
PC01,11.34,14.94,1121,22.9,1.78,15.03,1.98,299,199,1.317,-337.894
PC01,11.09,15.47,1121,23,1.43,14.85,2.02,298,198,1.206,-330.808
PC01,12.27,16.95,1121,24.2,3.26,15.98,3.45,300,200,1.221,-261.51
PC01,12.09,15.85,1121,23.3,2.05,15.95,2.5,299,200,1.327,-305.344
PC01,10.77,14.68,1121,22.4,1.49,13.5,1.41,299,199,1.354,-355.578
PC01,13.49,17.09,1121,24.9,3.57,15.86,3.53,300,201,1.627,-234.215
PC01,10.02,14.45,1121,21.7,0.58,11.97,0.72,298,198,1.295,-391.342
PC01,11.37,15.32,1121,22.9,1.58,13.22,1.53,299,200,1.308,-336.242
PC01,10.73,15.1,1121,22.3,1.36,13.69,0.94,298,198,1.414,-355.261
PC01,14.68,18.39,1121,25.7,4.37,16.71,4.38,301,201,1.737,-193.419
PC01,11.54,15.6,1121,23.2,2.37,15.5,1.85,299,199,1.209,-317.93
PC01,12.08,14.96,1121,22.6,1.6,14.4,1.63,298,198,1.21,-341.442
PC01,12.36,16.5,1121,23.9,2.98,16.09,3.4,300,200,1.509,-278.678
PC01,11.13,15.35,1121,22.5,1.35,14.85,1.34,299,198,1.16,-351.441
PC01,13.23,16.97,1121,24.5,3.53,15.17,3.71,301,200,1.319,-247.532
PC01,12.32,15.79,1121,23.3,2.23,14.5,2.16,299,200,1.536,-310.885
PC01,13.35,18.02,1121,24.9,3.6,16.23,4,301,201,1.605,-232.739
PC01,11.67,15.21,1121,22.6,1.18,14.16,1.72,298,198,1.443,-350.28
PC01,12.1,15.33,1121,23,1.44,14.71,1.45,299,200,1.454,-331.435
PC01,12.81,15.54,1121,23.7,2.99,15.21,2.65,300,200,1.345,-286.313
PC01,11.14,15.66,1121,23.4,2.34,15.06,2.24,300,200,1.194,-302.768
PC01,12.9,15.95,1121,24.5,3.2,16,3.6,300,200,1.371,-251.7
PC01,13.38,15.69,1121,23.7,2.84,15.73,2.51,300,199,1.118,-289.154
PC01,11.36,15.17,1121,22.9,1.68,15.46,1.84,299,199,1.333,-330.268
PC01,13.47,17,1121,24.5,3.82,15.94,3.77,300,201,1.437,-246.597
PC01,11.01,14.75,1121,22.5,1.93,14.6,1.86,299,199,1.355,-338.551
PC01,14.84,17.23,1121,25.6,4.64,17.34,4.7,301,202,1.545,-189.459
PC01,11.09,14.72,1121,23.8,2.5,16.45,2.51,299,199,1.203,-302.376
PC01,11.99,15.35,1121,23.5,2.52,14.68,2.48,300,200,1.298,-297.077
PC01,11.48,15.39,1121,23.1,2.05,14.22,1.79,300,199,1.245,-319.498
PC01,11.66,15.86,1121,23.2,1.99,15.4,2,298,200,1.232,-313.291
PC01,13.81,17.6,1121,25.1,3.98,16.32,3.86,301,202,1.531,-222.377
PC01,10.96,15.67,1121,22.4,1.62,14.67,1.72,297,198,1.158,-350.512
PC01,11.25,15.05,1121,22.4,1.1,13.65,1.68,298,199,1.252,-350.284
PC01,11.18,15.03,1121,22.6,1.48,14.57,1.65,299,199,1.238,-351.906
PC01,12.28,16.12,1121,23.9,2.91,15.38,2.92,300,200,1.255,-274.445
PC01,10.59,14.48,1121,21.7,0.94,12.83,0.57,298,198,1.282,-389.555
PC01,11.15,14.59,1121,22.3,0.97,14.11,1.42,298,199,1.118,-358.965
PC01,13.1,16.46,1121,24,2.97,15.52,3.11,300,199,1.32,-273.219
PC01,12.59,16.28,1121,23.7,2.37,15.61,2.86,300,200,1.113,-284.732
PC01,13.84,18.03,1121,25,4.1,16.84,4.02,301,200,1.675,-217.596
PC01,13.48,17.23,1121,24.8,3.86,16.03,3.62,301,201,1.432,-235.633
PC01,12.49,16.49,1121,23.4,2.5,14.44,2.16,300,200,1.231,-306.835
PC01,10.48,14.97,1121,21.5,0.79,12.67,0.72,297,197,1.098,-396.148
PC01,12.15,16.2,1121,23.1,1.76,15.1,1.84,299,199,1.227,-324.046
PC01,12.05,14.84,1121,23.4,2.32,15.82,2.08,300,199,1.331,-311.62
PC01,12.19,16.38,1121,24.7,3.4,15.78,3.65,301,199,1.471,-248.089
PC01,13.04,18.45,1121,25.4,4.36,16.61,4.54,301,202,1.602,-207.525
PC01,8.7,12.55,1121,20.8,-0.08,13.12,-0.35,297,197,1.06,-428.796
PC01,14.89,18.2,1121,26.6,5.3,17.83,5.49,303,201,1.687,-151.092
PC01,11.57,15.72,1121,23.7,2.45,14.01,2.77,298,200,1.112,-294.198
PC01,13.31,17.27,1121,24.3,3.35,15.48,3.14,301,200,1.421,-261.297
PC01,12.63,15.6,1121,23.3,2.4,14.78,2.34,300,199,1.329,-308.426
PC01,13.2,16.95,1121,24.3,3.41,15.84,3.19,300,201,1.339,-259.74
PC01,14.87,18.42,1121,26,4.99,18.47,4.95,302,201,1.562,-169.608
PC01,10.83,16.05,1121,22.7,1.88,14.13,1.5,298,199,1.235,-343.573
PC01,13.08,17.51,1121,25.2,3.89,16.47,3.78,300,201,1.616,-227.539
PC01,12.28,16.87,1121,24.1,3.24,16.37,3.32,300,200,1.248,-269.835
PC01,11.76,16.86,1121,23.8,2.7,15.38,3.04,299,200,1.328,-285.077
PC01,12.37,16.29,1121,23.8,2.87,15.34,2.87,301,200,1.353,-280.062
PC01,13.87,17.45,1121,25.1,4.19,17.42,3.84,300,201,1.538,-222.697
PC01,13.43,16.6,1121,24.1,3.32,15.84,2.93,300,200,1.434,-271.662
PC01,11.89,15.86,1121,23.1,2.11,15.33,2.24,299,199,1.281,-317.892
PC01,12.24,13.98,1121,23.1,1.83,14.72,1.56,300,199,1.161,-322.341
PC01,12.29,16.39,1121,23.8,2.67,15.7,2.77,300,200,1.147,-283.99
PC01,11.77,16.1,1121,24,2.69,14.82,3.03,300,200,1.44,-283.887
PC01,11.56,15.77,1121,22.5,1.36,14.99,1.23,297,198,1.227,-350.219
PC01,11.27,15.05,1121,22.8,1.85,13.84,1.76,299,199,1.138,-337.292
PC01,12.87,17.08,1121,24.1,3.31,15.91,2.97,301,200,1.415,-274.16
PC01,11.88,16.79,1121,24,2.67,14.64,2.94,300,200,1.675,-281.272
PC01,11.71,16.54,1121,23.3,2.3,14.49,2.06,300,200,1.287,-306.928
PC01,11.74,16.55,1121,23.2,2.46,14.05,2.26,300,199,1.278,-309.606
PC01,11.75,16,1121,23.2,2.48,15.13,2.22,299,199,1.358,-318.003
PC01,13.57,16.76,1121,24.2,3.18,17.11,3.21,300,200,1.523,-267.032
PC01,13.06,16.67,1121,23.7,2.55,15.09,2.76,300,200,1.39,-284.56
PC01,11.89,15.31,1121,22.9,1.55,14.5,2.31,299,199,1.077,-332.986
PC01,10.18,13.99,1121,21.5,-0.06,13.08,0.54,297,197,1.2,-399.782
PC01,13.61,17.1,1121,25.1,3.98,17.09,3.98,301,201,1.552,-216.546
PC01,14.31,17.49,1121,25.2,4.19,16.67,4.04,302,202,1.57,-208.452
PC01,11.24,16.72,1121,23.3,2.32,15.07,2.53,300,199,1.343,-305.415
PC01,12.38,16.44,1121,24.3,3.36,14.98,3.05,300,200,1.307,-259.74
PC01,12.59,16.24,1121,23.7,2.44,15.56,2.75,300,200,1.16,-285.592
PC01,12.24,16.52,1121,23.8,2.66,15.23,2.76,300,200,1.303,-291.619
PC01,10.63,13.28,1121,21.6,0.88,13.3,0.7,297,197,1.049,-388.709
PC01,10.95,15.49,1121,22.7,1.75,15.11,1.83,299,199,1.298,-336.823
PC01,11.21,15.73,1121,23.3,2.27,15.17,1.95,299,198,1.203,-319.855
PC01,12.3,15.95,1121,24,3.02,15.32,3.08,301,200,1.44,-276.442
PC01,12.2,15.32,1121,23.8,3.16,15.15,2.79,300,199,1.459,-275.142
PC01,10.5,15.25,1121,22.1,1.31,13.95,1.04,298,198,1.227,-366.714
PC01,13.01,16.23,1121,24.4,3.09,15.54,3.11,299,201,1.335,-262.055
PC01,11.99,16.72,1121,24,3.29,15.99,3.03,300,200,1.483,-271.013
PC01,12.63,17.51,1121,24.7,3.16,16.01,3.86,301,201,1.3,-249.442
PC01,9.84,14.38,1121,21.5,0.49,12.54,0.67,297,198,1.134,-390.677
PC01,12.77,16.58,1121,24,3.1,16.09,2.77,300,199,1.467,-276.783
PC01,11.66,15.36,1121,23.1,2.07,15.57,2.27,299,200,1.428,-319.952
PC01,10.78,15.64,1121,22.7,1.6,12.97,1.7,298,198,1.305,-332.275
PC01,12.85,16.91,1121,23.5,2.37,15.19,2.77,300,199,1.105,-292.511
PC01,11.63,15.98,1121,23.4,1.95,14.77,2,300,199,1.317,-318.29
PC01,12.93,17.23,1121,24.4,3.3,16.29,3,300,200,1.411,-258.889
PC01,10.2,15.64,1121,22.8,1.73,13.96,2.05,298,199,1.075,-327.703
PC01,11.28,15.87,1121,23.6,2.82,15.4,2.8,300,200,1.393,-286.833
PC01,12.89,17.62,1121,24.9,3.95,16.13,3.85,301,201,1.492,-226.257
PC01,11.6,14.79,1121,22.4,1.4,13.98,1.17,298,198,1.172,-349.474
PC01,12.22,15.76,1121,23.4,2.43,14.63,2.09,299,199,1.304,-307.954
PC01,12.13,16.62,1121,23.7,2.97,13.94,2.39,299,200,1.325,-293.1
PC01,11.83,15.49,1121,22.9,1.49,14.76,1.63,298,199,1.427,-333.037
PC01,10.99,16.03,1121,23.2,2.28,15.13,2.24,300,199,1.273,-314.005
PC01,9.85,14.29,1121,22.2,1.35,14.45,0.83,298,199,1.3,-363.438
PC01,11.2,15.21,1121,22.8,1.83,13.68,1.4,298,198,1.273,-338.823
PC01,11.75,15.92,1121,23,1.97,14.86,2.14,298,199,1.155,-325.595
PC01,12.04,16.32,1121,24,2.75,15.59,3.06,301,200,1.498,-267.971
PC01,13.24,16.72,1121,24.6,3.23,15.62,3.54,300,200,1.522,-247.574
PC01,13.23,16.86,1121,24.4,3.47,15.93,3.38,300,200,1.329,-255.195
PC01,11.41,15.23,1121,22.9,1.86,14.55,1.91,299,199,1.106,-329.495
PC01,10.61,14.16,1121,22.2,1.18,14.55,1.13,298,198,1.207,-364.71
PC01,10.87,15.46,1121,22.4,1.29,13.23,1.21,299,199,1.03,-359.121
PC01,11.31,15,1121,22.8,2.01,14.45,1.8,298,199,1.13,-334.904
PC01,12.88,16.94,1121,24.6,3.76,15.67,3.97,301,201,1.514,-246.491
PC01,14.25,19.21,1121,26.3,5.23,18.33,5.02,302,201,1.895,-163.831
PC01,13.25,17.14,1121,25,3.67,16.03,3.6,301,202,1.539,-225.987
PC01,12.37,16.78,1121,24.2,2.92,15.25,3.35,299,199,1.531,-268.306
PC01,12.9,17.36,1121,24.2,3.35,17.18,3.1,300,200,1.437,-260.757
PC01,11.86,16.36,1121,23.9,2.9,15.1,2.84,299,200,1.249,-283.142
PC01,11.64,15.37,1121,23,2.33,14.77,2.02,299,199,1.285,-326.329
PC01,11.72,16.44,1121,24.1,3.21,15.16,2.96,301,199,1.487,-271.066
PC01,13.54,16.55,1121,24.9,3.93,16.92,4.11,302,201,1.483,-224.362
PC01,10.63,15.01,1121,22.6,1.97,14.74,1.58,299,199,1.066,-343.372
PC01,9.91,14.2,1121,21.2,-0.08,12.68,0.2,297,197,1.116,-411.964
PC01,10.66,13.68,1121,21.8,0.58,13.3,0.93,298,197,1.035,-383.584
PC01,11.14,14.43,1121,22.9,1.9,14.27,1.77,299,200,1.031,-333.679
PC01,11.86,15.66,1121,23.8,2.57,15.07,2.49,300,200,1.254,-295.128
PC01,12.67,15.52,1121,23.6,2.87,15.73,2.62,299,199,1.139,-299.519
PC01,11.33,16.48,1121,23.3,2.28,14.45,2.3,301,199,1.34,-300.706
PC01,11.69,15.53,1121,22.8,1.87,14.78,1.2,299,198,1.047,-334.042
PC01,12.57,16.08,1121,23.2,2.05,14.42,2.27,299,199,1.216,-317.829
PC01,9.83,14.77,1121,22.3,1.2,12.37,1.1,298,198,1.154,-367.632
PC01,11.95,17.02,1121,24,2.91,15.59,3.08,300,200,1.352,-271.681
PC01,12.54,17.77,1121,24.3,3,15.61,3.28,301,200,1.283,-270.799
PC01,11.8,15.96,1121,22.5,1.62,14.59,1.62,298,198,1.286,-338.602
PC01,12.16,15.99,1121,23.6,2.82,14.02,2.55,300,199,1.278,-289.714
PC01,11.66,15.7,1121,23.2,2.08,14.54,1.89,299,200,1.305,-320.635
PC01,13.79,16.73,1121,24.3,3.6,15.96,3.79,300,201,1.441,-251.998
PC01,12.61,17.22,1121,23.6,2.42,15.76,2.45,300,199,1.383,-292.431
PC01,12.84,16.31,1121,24.4,3.35,16.98,3.37,300,199,1.37,-250.791
PC01,10.76,14.67,1121,22.2,1.24,13.22,1.44,298,198,1.129,-367.112
PC01,11.18,15.88,1121,23.2,2.41,15.39,2.38,299,198,1.358,-307.505
PC01,11.79,16.5,1121,24.4,3.43,16.34,3.31,301,200,1.472,-253.864
PC01,11.55,16.83,1121,23.3,2.41,15,2.21,300,200,1.342,-301.981
PC01,11.86,15.97,1121,23,1.98,14.99,2.34,300,200,1.42,-323.03
PC01,10.48,13.93,1121,21.8,0.35,13.78,0.57,298,198,1.137,-392.463
PC01,10.22,13.9,1121,21.5,0.24,13.44,0.49,298,197,1.044,-395.754
PC01,10.82,14.96,1121,22.9,2.06,14.43,2.14,299,198,1.216,-325.694
PC01,12.05,16.17,1121,23.4,2.36,14.6,2.1,299,199,1.49,-314.867
PC01,11.28,15.62,1121,22.5,1.48,14.03,1.75,298,198,1.181,-351.299
PC01,12.2,15.26,1121,23.1,2.22,15.4,1.89,300,200,1.29,-309.26
PC01,12.53,17.33,1121,24.2,2.84,16.43,3.12,299,200,1.502,-263.67
PC01,11.27,16.64,1121,23.8,3.17,15.65,2.78,300,200,1.423,-286.737
PC01,9.62,13.45,1121,22,0.82,13.69,1.34,298,197,1.179,-372.977
PC01,11.25,16.49,1121,23.1,2.32,14.66,2.31,300,199,1.17,-315.605
PC01,11.66,16.6,1121,23.5,2.64,14.58,2.32,300,199,1.342,-295.198
PC01,11.62,16.32,1121,22.9,2.01,14.09,2.12,300,199,1.213,-322.968
PC01,11.96,15.67,1121,23.4,2.67,14.12,2.25,300,199,1.531,-307.817
PC01,10.17,16.05,1121,22.2,1.02,13.25,1.22,298,198,1.042,-367.707
PC01,11.64,16.03,1121,23.3,2.39,14.59,2.07,299,200,1.413,-307.878
PC01,10.98,15.52,1121,22.7,1.69,14.67,1.72,299,198,1.298,-343.291
PC01,11.29,15.33,1121,23.1,1.76,14.61,1.98,299,200,1.217,-325.86
PC01,13.26,16.44,1121,24.3,3.33,16.18,3.39,300,200,1.287,-259.708
PC01,11.96,15.54,1121,23.2,1.89,14.49,1.89,299,199,1.325,-321.549
PC01,13.1,16.9,1121,25,4.35,16.37,4.09,301,201,1.413,-218.358
PC01,11.38,14.62,1121,22.5,1.54,13.81,1.53,298,199,1.228,-352.769
PC01,12.96,15.98,1121,24.1,2.79,15.31,2.9,300,200,1.382,-273.51
PC01,10.94,17.02,1121,23.2,2.37,14.17,2.16,300,199,1.331,-318.561
PC01,13.25,16.21,1121,24.6,3.26,16.29,3.61,301,201,1.315,-248.64
PC01,13.71,17.31,1121,25.1,3.98,16.25,3.99,301,201,1.457,-222.64
PC01,11.33,15.91,1121,23.2,2.05,15.05,2.41,300,200,1.518,-313.045
PC01,13.76,15.74,1121,24.7,3.51,14.62,3.48,300,201,1.243,-243.651
PC01,10.89,16.19,1121,23.2,1.86,14.39,1.98,299,198,1.234,-326.415
PC01,13.48,18.28,1121,25.2,4.07,16.25,4.31,301,201,1.397,-217.084
PC01,13.1,17.33,1121,24.6,3.45,16.95,3.48,300,200,1.654,-248.298
PC01,10.7,15.25,1121,22.4,1.73,12.99,1.59,298,198,1.248,-346.688
PC01,13.53,16.73,1121,24.8,3.57,15.43,3.55,301,200,1.667,-240.221
PC01,12.44,16.66,1121,23.9,2.8,15.3,2.71,300,200,1.292,-277.612
PC01,13.94,17.74,1121,25.6,4.71,17.06,4.53,300,201,1.543,-203.544
PC01,8.83,13.64,1121,21,-0.26,12.6,0.14,296,197,1.158,-425.335
PC01,11.22,14.27,1121,22.4,1.4,13.54,1.26,298,199,1.212,-351.219
PC01,12.31,15.84,1121,23.6,2.27,14.38,2.7,300,200,1.479,-293.31
PC01,12.89,17.5,1121,24.9,4.01,15.72,4.09,301,201,1.479,-224.167
PC01,10.72,15.02,1121,21.8,0.82,13.49,0.33,297,198,1.169,-379.163
PC01,11.63,16.6,1121,24.5,3.27,15.68,3.33,300,201,1.604,-255.252
PC01,11.98,17.52,1121,23.7,2.56,15.44,2.49,300,200,1.465,-293.718
PC01,11.37,15.52,1121,22.9,1.92,14.02,2.04,300,198,1.384,-324.884
PC01,11.87,15.52,1121,23.8,2.81,15.41,2.63,300,200,1.456,-285.771
PC01,12.7,16.28,1121,24,2.93,15.78,3.38,300,200,1.144,-267.443
PC01,13.46,16.21,1121,24,3.24,16.68,3.29,301,200,1.319,-265.829
PC01,10.45,14.71,1121,22.1,0.96,14.23,0.93,299,198,0.952,-364.819
PC01,12.71,16.9,1121,24,2.84,15.99,3.21,301,201,1.106,-276.072
PC01,12.75,18.19,1121,24.9,3.74,16.1,3.87,301,201,1.49,-230.674
PC01,11.11,14.11,1121,22.7,1.33,13.42,1.59,298,199,1.387,-342.317
PC01,11.25,16.06,1121,23,1.88,13.55,1.95,299,199,1.113,-322.254
PC01,12.23,16.01,1121,24.1,3.19,15.62,3.23,301,200,1.311,-265.468
PC01,13.03,16.45,1121,23.8,3,15.25,2.84,300,201,1.435,-276.79
PC01,10,14.95,1121,22.1,0.83,13.66,1.11,298,198,1.071,-368.013
PC01,12.67,16.07,1121,23.7,2.38,15.24,2.74,300,200,1.238,-291.68
PC01,13.05,17.03,1121,24.5,3.14,17.2,3.51,300,201,1.433,-252.084
PC01,9.41,12.8,1121,20.9,-0.03,12.37,-0.18,296,197,1.206,-419.544
PC01,12.19,16.12,1121,23.7,2.9,15.44,2.83,300,200,1.368,-292.376
PC01,12.12,15.97,1121,23.6,2.74,15.58,2.47,300,200,1.291,-289.977
PC01,10.47,15.08,1121,22.8,1.44,13.53,2.29,299,199,1.297,-331.786
PC01,11.64,15.07,1121,22.3,1.51,13.73,1.11,298,199,1.249,-357.31
PC01,11.27,14.68,1121,22.3,1.43,13.49,1.71,299,199,1.201,-353.798
PC01,13.26,17.06,1121,24.9,3.7,15.76,3.82,301,201,1.578,-233.138
PC01,11.03,15.33,1121,22.7,1.84,15.19,1.8,299,199,1.104,-337.434
PC01,10.34,15.06,1121,22.6,1.5,13.97,1.45,298,199,1.225,-346.158
PC01,13.4,17.07,1121,24.6,2.94,15.53,3.63,300,201,1.351,-243.902
PC01,12.25,14.96,1121,23.2,2.26,14.03,2.28,300,199,1.242,-313.758
PC01,11.72,15.75,1121,23.4,2.15,14.6,2.5,299,200,1.545,-307.874
PC01,14.48,18.4,1121,25.8,4.51,16.76,5.1,302,201,1.551,-185.537
PC01,12.35,15.04,1121,23.5,2.24,14.92,2.26,299,200,1.454,-308.246
PC01,9.96,15.08,1121,22,1.15,14.31,1.07,298,197,1.092,-370.114
PC01,11.56,14.84,1121,23.4,2.09,14.56,2.42,299,199,1.285,-303.769
PC01,11.07,15.23,1121,22.6,1.57,14.76,1.66,299,199,1.259,-342.863
PC01,12.07,16.21,1121,23.5,2.58,14.09,2.67,300,200,1.191,-302.449
PC01,12.87,17.93,1121,24.3,3.03,16.29,3.35,300,200,1.381,-267.199
PC01,11.61,15.98,1121,23.2,2.09,14.64,2.22,299,199,1.434,-320.322
